id,mode,condition,alpha,prob_inc_base,prob_inc_clamp,delta_prob_inc,logprob_inc_base,logprob_inc_clamp,delta_logprob_inc,innov_mass_base,innov_mass_clamp,delta_mass
1_1,cap,safe,0.2,9.223470110117275e-06,2.282799719288797e-05,1.3604527082770695e-05,-18.875,-24.875,-6.0,0.000247955322265625,2.603428583825007e-11,-0.00024795529623133916
1_1,cap,safe,0.5,9.223470110117275e-06,5.1442213742208984e-05,4.221874363209171e-05,-18.875,-20.625,-1.75,0.000247955322265625,1.8189894035458565e-09,-0.00024795350327622145
1_1,cap,safe,0.8,9.223470110117275e-06,0.00010229985472581484,9.307638461569757e-05,-18.875,-18.875,0.0,0.000247955322265625,8.288770914077759e-08,-0.0002478724345564842
1_1,cap,safe,1.0,9.223470110117275e-06,0.00016865275398914432,0.00015942928387902705,-18.875,-18.375,0.5,0.000247955322265625,3.129243850708008e-07,-0.0002476423978805542
1_1,cap,safe,1.2,9.223470110117275e-06,0.00016865275398914432,0.00015942928387902705,-18.875,-18.375,0.5,0.000247955322265625,3.129243850708008e-07,-0.0002476423978805542
1_1,cap,safe,1.5,9.223470110117275e-06,0.00016865275398914432,0.00015942928387902705,-18.875,-18.375,0.5,0.000247955322265625,3.129243850708008e-07,-0.0002476423978805542
1_1,cap,random,0.2,9.223470110117275e-06,0.0001795279693467774,0.00017030449923666012,-18.875,-18.25,0.625,0.000247955322265625,3.129243850708008e-07,-0.0002476423978805542
1_1,cap,random,0.5,9.223470110117275e-06,0.0001795279693467774,0.00017030449923666012,-18.875,-18.25,0.625,0.000247955322265625,3.129243850708008e-07,-0.0002476423978805542
1_1,cap,random,0.8,9.223470110117275e-06,0.0001795279693467774,0.00017030449923666012,-18.875,-18.25,0.625,0.000247955322265625,3.129243850708008e-07,-0.0002476423978805542
1_1,cap,random,1.0,9.223470110117275e-06,0.0001795279693467774,0.00017030449923666012,-18.875,-18.25,0.625,0.000247955322265625,3.129243850708008e-07,-0.0002476423978805542
1_1,cap,random,1.2,9.223470110117275e-06,0.0001795279693467774,0.00017030449923666012,-18.875,-18.25,0.625,0.000247955322265625,3.129243850708008e-07,-0.0002476423978805542
1_1,cap,random,1.5,9.223470110117275e-06,0.0001795279693467774,0.00017030449923666012,-18.875,-18.25,0.625,0.000247955322265625,3.129243850708008e-07,-0.0002476423978805542
1_1,cap,neutral,0.2,9.223470110117275e-06,0.00016865275398914432,0.00015942928387902705,-18.875,-18.375,0.5,0.000247955322265625,3.129243850708008e-07,-0.0002476423978805542
1_1,cap,neutral,0.5,9.223470110117275e-06,0.00016865275398914432,0.00015942928387902705,-18.875,-18.375,0.5,0.000247955322265625,3.129243850708008e-07,-0.0002476423978805542
1_1,cap,neutral,0.8,9.223470110117275e-06,0.00016865275398914432,0.00015942928387902705,-18.875,-18.375,0.5,0.000247955322265625,3.129243850708008e-07,-0.0002476423978805542
1_1,cap,neutral,1.0,9.223470110117275e-06,0.00016865275398914432,0.00015942928387902705,-18.875,-18.375,0.5,0.000247955322265625,3.129243850708008e-07,-0.0002476423978805542
1_1,cap,neutral,1.2,9.223470110117275e-06,0.00016865275398914432,0.00015942928387902705,-18.875,-18.375,0.5,0.000247955322265625,3.129243850708008e-07,-0.0002476423978805542
1_1,cap,neutral,1.5,9.223470110117275e-06,0.00016865275398914432,0.00015942928387902705,-18.875,-18.375,0.5,0.000247955322265625,3.129243850708008e-07,-0.0002476423978805542
1_1,scale,safe,0.2,9.223470110117275e-06,1.7778551863194697e-05,8.555081753077422e-06,-18.875,-25.75,-6.875,0.000247955322265625,2.05773176276125e-11,-0.00024795530168830737
1_1,scale,safe,0.5,9.223470110117275e-06,1.5689549727726036e-05,6.466079617608761e-06,-18.875,-22.375,-3.5,0.000247955322265625,1.0841176845133305e-09,-0.0002479542381479405
1_1,scale,safe,0.8,9.223470110117275e-06,7.484622751061124e-05,6.562275740049397e-05,-18.875,-19.625,-0.75,0.000247955322265625,5.029141902923584e-08,-0.00024790503084659576
1_1,scale,safe,1.0,9.223470110117275e-06,0.00016865275398914432,0.00015942928387902705,-18.875,-18.375,0.5,0.000247955322265625,3.129243850708008e-07,-0.0002476423978805542
1_1,scale,safe,1.2,9.223470110117275e-06,0.00033535013046647816,0.0003261266603563609,-18.875,-17.75,1.125,0.000247955322265625,1.0281801223754883e-06,-0.0002469271421432495
1_1,scale,safe,1.5,9.223470110117275e-06,0.0007554056327295276,0.0007461821626194103,-18.875,-16.625,2.25,0.000247955322265625,3.591179847717285e-06,-0.0002443641424179077
1_1,scale,random,0.2,9.223470110117275e-06,0.0001795279693467774,0.00017030449923666012,-18.875,-18.25,0.625,0.000247955322265625,3.129243850708008e-07,-0.0002476423978805542
1_1,scale,random,0.5,9.223470110117275e-06,0.00016865275398914432,0.00015942928387902705,-18.875,-18.375,0.5,0.000247955322265625,3.129243850708008e-07,-0.0002476423978805542
1_1,scale,random,0.8,9.223470110117275e-06,0.00016865275398914432,0.00015942928387902705,-18.875,-18.375,0.5,0.000247955322265625,3.129243850708008e-07,-0.0002476423978805542
1_1,scale,random,1.0,9.223470110117275e-06,0.00016865275398914432,0.00015942928387902705,-18.875,-18.375,0.5,0.000247955322265625,3.129243850708008e-07,-0.0002476423978805542
1_1,scale,random,1.2,9.223470110117275e-06,0.00016865275398914432,0.00015942928387902705,-18.875,-18.375,0.5,0.000247955322265625,3.129243850708008e-07,-0.0002476423978805542
1_1,scale,random,1.5,9.223470110117275e-06,0.00016865275398914432,0.00015942928387902705,-18.875,-18.375,0.5,0.000247955322265625,3.129243850708008e-07,-0.0002476423978805542
1_1,scale,neutral,0.2,9.223470110117275e-06,0.00016865275398914432,0.00015942928387902705,-18.875,-18.375,0.5,0.000247955322265625,3.129243850708008e-07,-0.0002476423978805542
1_1,scale,neutral,0.5,9.223470110117275e-06,0.00016865275398914432,0.00015942928387902705,-18.875,-18.375,0.5,0.000247955322265625,3.129243850708008e-07,-0.0002476423978805542
1_1,scale,neutral,0.8,9.223470110117275e-06,0.00016865275398914432,0.00015942928387902705,-18.875,-18.375,0.5,0.000247955322265625,3.129243850708008e-07,-0.0002476423978805542
1_1,scale,neutral,1.0,9.223470110117275e-06,0.00016865275398914432,0.00015942928387902705,-18.875,-18.375,0.5,0.000247955322265625,3.129243850708008e-07,-0.0002476423978805542
1_1,scale,neutral,1.2,9.223470110117275e-06,0.00016865275398914432,0.00015942928387902705,-18.875,-18.375,0.5,0.000247955322265625,3.129243850708008e-07,-0.0002476423978805542
1_1,scale,neutral,1.5,9.223470110117275e-06,0.00016865275398914432,0.00015942928387902705,-18.875,-18.375,0.5,0.000247955322265625,3.129243850708008e-07,-0.0002476423978805542
1_2,cap,safe,0.2,6.540437226933636e-06,0.0010322310367548194,0.0010256905995278858,-21.0,-25.375,-4.375,0.0003681182861328125,5.729816621169448e-11,-0.0003681182288346463
1_2,cap,safe,0.5,6.540437226933636e-06,0.0005884088185569387,0.000581868381330005,-21.0,-22.0,-1.0,0.0003681182861328125,7.334165275096893e-09,-0.0003681109519675374
1_2,cap,safe,0.8,6.540437226933636e-06,0.000519304864494927,0.0005127644272679933,-21.0,-20.125,0.875,0.0003681182861328125,2.5331974029541016e-07,-0.0003678649663925171
1_2,cap,safe,1.0,6.540437226933636e-06,0.0006263341581094201,0.0006197937208824864,-21.0,-19.625,1.375,0.0003681182861328125,8.419156074523926e-07,-0.0003672763705253601
1_2,cap,safe,1.2,6.540437226933636e-06,0.0006667023092435894,0.0006601618720166558,-21.0,-19.5,1.5,0.0003681182861328125,8.419156074523926e-07,-0.0003672763705253601
1_2,cap,safe,1.5,6.540437226933636e-06,0.0006667023092435894,0.0006601618720166558,-21.0,-19.5,1.5,0.0003681182861328125,8.419156074523926e-07,-0.0003672763705253601
1_2,cap,random,0.2,6.540437226933636e-06,0.0007554056327295276,0.000748865195502594,-21.0,-19.375,1.625,0.0003681182861328125,8.67992639541626e-07,-0.0003672502934932709
1_2,cap,random,0.5,6.540437226933636e-06,0.0007554056327295276,0.000748865195502594,-21.0,-19.375,1.625,0.0003681182861328125,8.67992639541626e-07,-0.0003672502934932709
1_2,cap,random,0.8,6.540437226933636e-06,0.0007554056327295276,0.000748865195502594,-21.0,-19.375,1.625,0.0003681182861328125,8.67992639541626e-07,-0.0003672502934932709
1_2,cap,random,1.0,6.540437226933636e-06,0.0007554056327295276,0.000748865195502594,-21.0,-19.375,1.625,0.0003681182861328125,8.67992639541626e-07,-0.0003672502934932709
1_2,cap,random,1.2,6.540437226933636e-06,0.0007554056327295276,0.000748865195502594,-21.0,-19.375,1.625,0.0003681182861328125,8.67992639541626e-07,-0.0003672502934932709
1_2,cap,random,1.5,6.540437226933636e-06,0.0007554056327295276,0.000748865195502594,-21.0,-19.375,1.625,0.0003681182861328125,8.67992639541626e-07,-0.0003672502934932709
1_2,cap,neutral,0.2,6.540437226933636e-06,0.0006667023092435894,0.0006601618720166558,-21.0,-19.5,1.5,0.0003681182861328125,8.419156074523926e-07,-0.0003672763705253601
1_2,cap,neutral,0.5,6.540437226933636e-06,0.0006667023092435894,0.0006601618720166558,-21.0,-19.5,1.5,0.0003681182861328125,8.419156074523926e-07,-0.0003672763705253601
1_2,cap,neutral,0.8,6.540437226933636e-06,0.0006667023092435894,0.0006601618720166558,-21.0,-19.5,1.5,0.0003681182861328125,8.419156074523926e-07,-0.0003672763705253601
1_2,cap,neutral,1.0,6.540437226933636e-06,0.0006667023092435894,0.0006601618720166558,-21.0,-19.5,1.5,0.0003681182861328125,8.419156074523926e-07,-0.0003672763705253601
1_2,cap,neutral,1.2,6.540437226933636e-06,0.0006667023092435894,0.0006601618720166558,-21.0,-19.5,1.5,0.0003681182861328125,8.419156074523926e-07,-0.0003672763705253601
1_2,cap,neutral,1.5,6.540437226933636e-06,0.0006667023092435894,0.0006601618720166558,-21.0,-19.5,1.5,0.0003681182861328125,8.419156074523926e-07,-0.0003672763705253601
