id,baseline_logprob,ablated_logprob,effect,random_ablated_logprob,random_effect
1032_2,-43.347496032714844,-43.33836364746094,-0.00913238525390625,-43.338958740234375,-0.00853729248046875
1032_8,-43.344520568847656,-43.3392333984375,-0.00528717041015625,-43.34069061279297,-0.0038299560546875
1054_1,-43.34765625,-43.339317321777344,-0.00833892822265625,-43.341880798339844,-0.00577545166015625
1054_3,-43.34777069091797,-43.336177825927734,-0.011592864990234375,-43.336544036865234,-0.011226654052734375
1125_4,-43.347740173339844,-43.335182189941406,-0.0125579833984375,-43.33519744873047,-0.012542724609375
1356_18,-43.33224868774414,-43.3389892578125,0.006740570068359375,-43.33824920654297,0.006000518798828125
1356_19,-43.33739471435547,-43.33937072753906,0.00197601318359375,-43.33985137939453,0.0024566650390625
1356_20,-43.33277893066406,-43.33778381347656,0.0050048828125,-43.33771514892578,0.00493621826171875
1356_23,-43.347930908203125,-43.33441925048828,-0.01351165771484375,-43.33535385131836,-0.012577056884765625
1356_24,-43.332157135009766,-43.338706970214844,0.006549835205078125,-43.33784484863281,0.005687713623046875
1356_25,-43.3476448059082,-43.33795166015625,-0.009693145751953125,-43.338623046875,-0.009021759033203125
1356_26,-43.347900390625,-43.336158752441406,-0.01174163818359375,-43.33747863769531,-0.0104217529296875
1356_27,-43.34748840332031,-43.33948516845703,-0.00800323486328125,-43.34126281738281,-0.0062255859375
1356_32,-43.28959274291992,-43.29116439819336,0.0015716552734375,-43.29184341430664,0.00225067138671875
1356_34,-43.34785079956055,-43.337989807128906,-0.009860992431640625,-43.339683532714844,-0.008167266845703125
1356_47,-43.33251190185547,-43.33753204345703,0.0050201416015625,-43.33744812011719,0.00493621826171875
1387_4,-43.33258056640625,-43.338809967041016,0.006229400634765625,-43.33918380737305,0.006603240966796875
1387_5,-43.27516555786133,-43.28095626831055,0.00579071044921875,-43.280765533447266,0.0055999755859375
1387_8,-43.347713470458984,-43.336700439453125,-0.011013031005859375,-43.33710479736328,-0.010608673095703125
1678_1,-43.319522857666016,-43.3167839050293,-0.00273895263671875,-43.31692886352539,-0.002593994140625
1678_2,-43.34785079956055,-43.33495330810547,-0.012897491455078125,-43.33512878417969,-0.012722015380859375
1678_3,-43.33448028564453,-43.33928680419922,0.0048065185546875,-43.339561462402344,0.0050811767578125
1678_4,-43.347572326660156,-43.33954620361328,-0.008026123046875,-43.34130096435547,-0.0062713623046875
1678_5,-43.34790802001953,-43.33403778076172,-0.0138702392578125,-43.334228515625,-0.01367950439453125
1678_6,-43.33228302001953,-43.338722229003906,0.006439208984375,-43.33845520019531,0.00617218017578125
1678_8,-43.25510025024414,-43.261627197265625,0.006526947021484375,-43.26054382324219,0.005443572998046875
177_1,-43.29161834716797,-43.29792022705078,0.0063018798828125,-43.29766845703125,0.00605010986328125
177_2,-43.332374572753906,-43.33915710449219,0.00678253173828125,-43.33866882324219,0.00629425048828125
177_3,-43.275875091552734,-43.282047271728516,0.00617218017578125,-43.2827262878418,0.0068511962890625
1808_1,-43.34569549560547,-43.33900451660156,-0.00669097900390625,-43.34126281738281,-0.00443267822265625
1808_7,-43.34785079956055,-43.33495330810547,-0.012897491455078125,-43.33512878417969,-0.012722015380859375
1808_10,-43.34696960449219,-43.33940124511719,-0.007568359375,-43.34088897705078,-0.00608062744140625
1808_11,-43.347679138183594,-43.33574676513672,-0.011932373046875,-43.33573913574219,-0.01194000244140625
1808_20,-43.34449768066406,-43.33922576904297,-0.00527191162109375,-43.34068298339844,-0.003814697265625
1808_21,-43.33238983154297,-43.339134216308594,0.006744384765625,-43.338661193847656,0.0062713623046875
1808_27,-43.347679138183594,-43.33546447753906,-0.01221466064453125,-43.33549499511719,-0.01218414306640625
1808_30,-43.340232849121094,-43.33927917480469,-0.00095367431640625,-43.340171813964844,-6.103515625e-05
1808_31,-43.34446716308594,-43.33922576904297,-0.00524139404296875,-43.34068298339844,-0.0037841796875
1808_37,-43.34528350830078,-43.338653564453125,-0.00662994384765625,-43.33868408203125,-0.00659942626953125
2099_2,-43.3479118347168,-43.33523178100586,-0.0126800537109375,-43.336219787597656,-0.011692047119140625
