feature_id,delta,mean_safe,mean_innov,std_safe,std_innov,effect_size_d
8811,1.7355232,7.937255,6.2017317,9.750205,9.084737,0.18597865
15978,1.1919353,1.8483953,0.6564601,11.705032,6.176971,0.13851649
15201,1.0673883,1.3531343,0.28574604,8.449741,3.7349992,0.18091787
14077,1.0476882,1.322695,0.2750067,5.6328726,2.9019976,0.2549726
1513,0.9554031,2.4174864,1.4620833,4.9448366,3.004501,0.24980728
13648,0.9216021,1.0730196,0.15141754,4.8266997,1.7591088,0.28537154
4955,0.88631654,1.0430754,0.15675893,5.2915335,2.2608035,0.24192712
3062,0.86573625,0.9719413,0.106205076,5.337169,1.5317122,0.25163463
10425,0.7938266,0.9434553,0.14962873,5.0778146,0.9684475,0.25154606
10041,0.7693875,0.867099,0.09771148,3.8832757,1.4092159,0.29635707
8962,0.7339957,0.80374116,0.069745496,3.204359,0.7104484,0.3647469
3847,0.7318454,6.669052,5.9372067,7.7205467,7.126041,0.09960527
11219,0.73136324,0.8958768,0.16451359,4.122547,1.6736587,0.25931048
4218,0.69978964,0.73838407,0.038594447,5.2734065,0.55661625,0.21810916
3558,0.6930743,0.8587788,0.16570447,2.3499234,0.9724223,0.42922926
11783,0.6811005,0.98426914,0.30316862,4.2969346,1.8746092,0.22776894
8892,0.6626466,0.860998,0.19835138,4.1402335,1.446305,0.24106587
267,0.6422578,0.78705585,0.14479801,2.6481974,1.6182231,0.31286442
8172,0.60437965,4.301211,3.6968312,6.5382223,6.217207,0.095393606
11683,0.6007257,0.6007257,0.0,4.641329,0.0,0.21480013
12563,0.59628725,8.385522,7.7892346,12.95865,12.83009,0.046306685
5799,0.5895794,0.716803,0.1272236,3.416273,0.9165816,0.26987815
6403,0.5868592,1.4402306,0.8533714,3.0870736,2.582853,0.21136414
14213,0.5723145,0.7078802,0.1355657,4.165914,1.3814204,0.20874886
5887,0.56775105,2.2178373,1.6500863,3.9166896,3.6431444,0.15161158
7838,0.5558791,3.7421741,3.186295,6.0478425,5.712759,0.09523949
8040,0.54395676,0.83407336,0.29011658,4.347843,2.4317958,0.16683875
11720,0.5425705,1.7839084,1.2413379,3.4817326,2.698078,0.18047675
6307,0.51916623,1.3674027,0.84823644,2.655245,2.009741,0.2291643
1811,0.5190027,0.9405521,0.42154944,2.0515091,1.478912,0.30366388
8885,0.50315714,0.9111575,0.40800035,3.2291985,2.1974556,0.19208324
9867,0.4970991,0.7532778,0.25617868,2.91635,1.5931977,0.22918032
9006,0.4889096,0.69313955,0.20422994,1.9389124,1.0260967,0.3426796
