feature_id,delta,mean_safe,mean_innov,std_safe,std_innov,effect_size_d,p_value,q_value,fdr_reject
11139,7.9529305,41.85603,33.9031,57.70008,50.344006,0.1496805,0.18858114188581143,1.0,False
3848,7.825528,17.313103,9.487575,28.886522,18.90336,0.33974013,0.0034996500349965005,1.0,False
5845,6.1054654,7.5129976,1.4075323,26.84548,7.885412,0.35175782,0.0010998900109989002,1.0,False
43,6.0341396,11.301422,5.2672825,17.8793,13.944861,0.38956693,0.00039996000399960006,1.0,False
261,4.2533674,16.245718,11.992351,33.671463,28.732574,0.1389171,0.22667733226677333,1.0,False
9263,3.7954445,35.502693,31.707249,54.272846,49.431057,0.07406912,0.5211478852114788,1.0,False
13752,3.6290631,8.2034,4.5743365,18.988094,12.941322,0.23544651,0.040495950404959506,1.0,False
15395,2.9154594,4.0479865,1.1325271,12.847085,5.2319984,0.3314735,0.0035996400359964,1.0,False
11817,2.5924573,5.061657,2.4691997,15.475508,9.819115,0.21283802,0.06179382061793821,1.0,False
14532,2.5641296,2.856039,0.29190952,18.642658,3.3245466,0.22214907,0.0466953304669533,1.0,False
15001,2.4850593,2.6837757,0.19871637,29.276537,2.865923,0.13970043,0.35796420357964204,1.0,False
10660,2.4842563,3.400964,0.9167077,16.531952,5.6259174,0.22735904,0.03799620037996201,1.0,False
14371,2.4240813,9.361532,6.937451,17.336668,15.5329485,0.14953257,0.1984801519848015,1.0,False
6408,2.3161368,3.795069,1.478932,21.645525,11.065339,0.1470458,0.19638036196380362,1.0,False
3923,2.2889771,2.8387222,0.54974514,14.123195,4.9946957,0.24357669,0.0225977402259774,1.0,False
13946,2.1761427,10.471729,8.295587,16.45941,13.312695,0.14972585,0.19308069193080693,1.0,False
12130,2.1492708,2.5934203,0.44414955,8.553003,2.9412885,0.37952247,0.0008999100089991,1.0,False
13052,2.094668,4.2047668,2.1100988,15.071883,12.563305,0.15483937,0.1832816718328167,1.0,False
10267,1.8232789,8.706161,6.8828816,13.502438,11.742927,0.14691254,0.20287971202879712,1.0,False
4680,1.7980146,3.4575303,1.6595156,10.508743,6.9431076,0.21368639,0.0633936606339366,1.0,False
7067,1.7492845,2.4904182,0.74113363,13.614812,4.3790584,0.19617176,0.0678932106789321,1.0,False
5697,1.7204175,2.1897738,0.46935624,7.2714195,2.7644806,0.35070595,0.000999900009999,1.0,False
14986,1.6280208,1.9353428,0.307322,9.230981,3.313495,0.26433963,0.014098590140985901,1.0,False
