feature_id,delta,mean_safe,mean_innov,std_safe,std_innov,effect_size_d,p_value,q_value,fdr_reject
6711,3.259132,5.0336866,1.7745546,15.790108,9.717022,0.2722289,9.999000099990002e-05,0.0372326403723264,True
245,3.175003,4.299464,1.1244613,14.276044,5.936128,0.33757588,9.999000099990002e-05,0.0372326403723264,True
11139,3.099125,36.253994,33.15487,55.936222,45.4896,0.063210085,0.21897810218978103,1.0,False
4773,2.897438,4.4551835,1.5577453,17.57281,10.413842,0.22111629,9.999000099990002e-05,0.0372326403723264,True
14371,2.5729036,9.430782,6.8578787,16.925598,14.948315,0.16493288,0.0008999100089991,0.22006157593195902,False
5081,2.5391064,8.292408,5.7533016,14.110249,10.229744,0.21896261,9.999000099990002e-05,0.0372326403723264,True
7016,2.2624967,2.5140991,0.2516024,10.247085,2.5774586,0.3684906,9.999000099990002e-05,0.0372326403723264,True
5946,2.2507992,3.6298459,1.3790468,10.124654,6.154652,0.29482076,9.999000099990002e-05,0.0372326403723264,True
14448,1.8913956,125.08723,123.19583,134.78401,134.18437,0.014075607,0.7878212178782121,1.0,False
11529,1.6968492,2.178203,0.4813539,7.622332,3.1474853,0.3385396,9.999000099990002e-05,0.0372326403723264,True
16043,1.5931507,1.7559932,0.1628425,8.725042,1.9479383,0.3087137,9.999000099990002e-05,0.0372326403723264,True
11008,1.5877624,4.0514417,2.4636793,12.80415,9.962742,0.14513533,0.0040995900409959,0.5330768510450542,False
108,1.582048,2.6298668,1.0478188,8.065783,4.960456,0.2587698,9.999000099990002e-05,0.0372326403723264,True
261,1.4374685,15.941633,14.504165,31.075365,31.314728,0.046014674,0.35536446355364465,1.0,False
13528,1.3652163,1.9082029,0.5429866,7.9404597,3.5989916,0.25452438,9.999000099990002e-05,0.0372326403723264,True
7344,1.156879,1.378293,0.22141415,7.592161,2.5240428,0.24357584,9.999000099990002e-05,0.0372326403723264,True
12575,1.1425905,13.15489,12.0123,23.15116,19.927639,0.054411855,0.28557144285571445,1.0,False
3923,1.1372156,1.8348893,0.6976736,11.733804,5.874045,0.13884929,0.005599440055994401,0.6240899719551855,False
1388,1.0659707,1.3219224,0.25595173,7.978074,2.5681996,0.2148795,9.999000099990002e-05,0.0372326403723264,True
